Time,RT,Difficulty,isCorrect
1105.375,1419.618368,2,0
15721.145,6326.855421,1,0
33570.04,2771.976233,1,1
48852.432,3766.575813,1,1
63984.842,2056.190252,1,1
87483.407,5332.633257,1,1
109765.367,5945.669651,2,1
130614.076,5229.971647,2,0
153412.694,NaN,2,0
172544.843,5835.225344,1,1
194076.865,3976.220846,1,1
216042.168,3409.918785,1,1
236657.584,7709.51128,2,1
255039.785,6468.312502,2,1
277671.718,5467.396736,1,1
292820.79,3383.331537,2,1
310736.367,5447.747469,1,0
326385.407,7968.72735,2,1
344250.979,6267.152786,2,1
363616.458,NaN,2,0
379798.783,5479.364634,2,1
397081.071,6192.082882,2,1
415513.258,2164.915562,2,0
431045.648,3099.526644,1,1
447227.978,2822.207451,1,0
465526.863,5435.329437,1,0
480759.26,5486.940145,2,1
497741.562,6684.639215,2,1
516240.415,4621.796608,1,1
535805.876,1700.329781,1,1
554438.066,5947.147608,2,0
575703.435,1830.797672,1,1
591985.78,NaN,2,0
612501.169,4948.075294,1,1
632149.976,5554.277897,2,1
654965.235,NaN,1,0
676380.588,1209.679365,2,1
693762.854,2678.427696,2,1
710428.495,4934.795141,1,1
728627.392,3724.910736,1,1
