Time,Pupil Diameter
4,5.233111
8,5.232191
12,5.231206
16,5.230162
20,5.229064
24,5.22792
28,5.226737
32,5.225526
36,5.224296
40,5.223053
44,5.221807
48,5.220563
52,5.219331
56,5.218117
60,5.216929
64,5.21577
68,5.214644
72,5.213556
76,5.212509
80,5.211504
84,5.210544
88,5.209628
92,5.20876
96,5.20794
100,5.20717
104,5.206453
108,5.2058
112,5.205204
116,5.204672
120,5.204206
124,5.203819
128,5.203519
132,5.203319
136,5.203232
140,5.203272
144,5.203458
148,5.203813
152,5.204356
156,5.205114
160,5.206113
164,5.207396
168,5.208978
172,5.210885
176,5.213143
180,5.215772
184,5.218788
188,5.222203
192,5.226017
196,5.230228
200,5.234818
204,5.239765
208,5.245035
212,5.250585
216,5.256366
220,5.262318
224,5.268378
228,5.274479
232,5.280551
236,5.286527
240,5.292336
244,5.297916
248,5.303206
252,5.308156
256,5.312723
260,5.316875
264,5.32059
268,5.323853
272,5.326663
276,5.329026
280,5.330958
284,5.332479
288,5.333616
292,5.334401
296,5.334871
300,5.335056
304,5.335001
308,5.334745
312,5.334321
316,5.33376
320,5.333095
324,5.332354
328,5.331563
332,5.330744
336,5.329916
340,5.329095
344,5.328297
348,5.327531
352,5.326803
356,5.326105
360,5.325454
364,5.324848
368,5.324282
372,5.323751
376,5.323246
380,5.32276
384,5.322284
388,5.321807
392,5.321321
396,5.320817
400,5.320285
404,5.319719
408,5.319113
412,5.318463
416,5.317765
420,5.317018
424,5.316221
428,5.315378
432,5.314492
436,5.313566
440,5.312606
444,5.311618
448,5.310609
452,5.309584
456,5.308549
460,5.30751
464,5.306473
468,5.30544
472,5.304416
476,5.303404
480,5.302406
484,5.301422
488,5.300447
492,5.299483
496,5.29853
500,5.297572
504,5.296612
508,5.295646
512,5.294682
516,5.293698
520,5.292695
524,5.291662
528,5.290592
532,5.289487
536,5.288336
540,5.287135
544,5.285877
548,5.284565
552,5.283209
556,5.281808
560,5.280369
564,5.278907
568,5.277439
572,5.275988
576,5.274575
580,5.273225
584,5.271966
588,5.270834
592,5.269848
596,5.269033
600,5.26841
604,5.26799
608,5.267781
612,5.267783
616,5.26799
620,5.26839
624,5.268973
628,5.269716
632,5.270592
636,5.271574
640,5.272636
644,5.273751
648,5.274894
652,5.276044
656,5.277181
660,5.278289
664,5.279353
668,5.280361
672,5.2813
676,5.282161
680,5.282935
684,5.283604
688,5.284153
692,5.284577
696,5.284835
700,5.284911
704,5.284771
708,5.284411
712,5.283796
716,5.282906
720,5.281715
724,5.280198
728,5.278343
